wl,Ag_k,PDMS_k
6.21,43.683333,0.00103400
6.22,43.751667,0.00111700
6.23,43.820000,0.00120000
6.24,43.890000,0.00116667
6.25,43.960000,0.00113333
6.26,44.030000,0.00110000
6.27,44.100000,0.00092533
6.28,44.170000,0.00075067
6.29,44.240000,0.00057600
6.30,44.310000,0.00049700
6.31,44.380000,0.00041800
6.32,44.450000,0.00033900
6.33,44.520000,0.00033033
6.34,44.590000,0.00032167
6.35,44.660000,0.00031300
6.36,44.721429,0.00033325
6.37,44.782857,0.00035350
6.38,44.844286,0.00037375
6.39,44.905714,0.00039400
6.40,44.967143,0.00041600
6.41,45.028571,0.00043800
6.42,45.090000,0.00046000
6.43,45.163333,0.00054433
6.44,45.236667,0.00062867
6.45,45.310000,0.00071300
6.46,45.383333,0.00071433
6.47,45.456667,0.00071567
6.48,45.530000,0.00071700
6.49,45.594286,0.00064167
6.50,45.658571,0.00056633
6.51,45.722857,0.00049100
6.52,45.787143,0.00049800
6.53,45.851429,0.00050500
6.54,45.915714,0.00051200
6.55,45.980000,0.00051900
6.56,46.056667,0.00043267
6.57,46.133333,0.00034633
6.58,46.210000,0.00026000
6.59,46.286667,0.00036800
6.60,46.363333,0.00047600
6.61,46.440000,0.00058400
6.62,46.505714,0.00063200
6.63,46.571429,0.00068000
6.64,46.637143,0.00072800
6.65,46.702857,0.00077600
6.66,46.768571,0.00071833
6.67,46.834286,0.00066067
6.68,46.900000,0.00060300
6.69,46.968571,0.00059950
6.70,47.037143,0.00059600
6.71,47.105714,0.00059250
6.72,47.174286,0.00058900
6.73,47.242857,0.00061867
6.74,47.311429,0.00064833
6.75,47.380000,0.00067800
6.76,47.448571,0.00086350
6.77,47.517143,0.00104900
6.78,47.585714,0.00123450
6.79,47.654286,0.00142000
6.80,47.722857,0.00180333
6.81,47.791429,0.00218667
6.82,47.860000,0.00257000
6.83,47.931429,0.00301500
6.84,48.002857,0.00346000
6.85,48.074286,0.00390500
6.86,48.145714,0.00435000
6.87,48.217143,0.00509333
6.88,48.288571,0.00583667
6.89,48.360000,0.00658000
6.90,48.422500,0.00669500
6.91,48.485000,0.00681000
6.92,48.547500,0.00692500
6.93,48.610000,0.00704000
6.94,48.672500,0.00690000
6.95,48.735000,0.00676000
6.96,48.797500,0.00662000
6.97,48.860000,0.00648000
6.98,48.934286,0.00701250
6.99,49.008571,0.00754500
7.00,49.082857,0.00807750
7.01,49.157143,0.00861000
7.02,49.231429,0.01030667
7.03,49.305714,0.01200333
7.04,49.380000,0.01370000
7.05,49.445000,0.01477500
7.06,49.510000,0.01585000
7.07,49.575000,0.01692500
7.08,49.640000,0.01800000
7.09,49.705000,0.01767500
7.10,49.770000,0.01735000
7.11,49.835000,0.01702500
7.12,49.900000,0.01670000
7.13,49.967500,0.01555000
7.14,50.035000,0.01440000
7.15,50.102500,0.01325000
7.16,50.170000,0.01210000
7.17,50.237500,0.01092500
7.18,50.305000,0.00975000
7.19,50.372500,0.00857500
7.20,50.440000,0.00740000
7.21,50.508750,0.00675750
7.22,50.577500,0.00611500
7.23,50.646250,0.00547250
7.24,50.715000,0.00483000
7.25,50.783750,0.00449000
7.26,50.852500,0.00415000
7.27,50.921250,0.00381000
7.28,50.990000,0.00347000
7.29,51.060000,0.00337000
7.30,51.130000,0.00327000
7.31,51.200000,0.00317000
7.32,51.270000,0.00307000
7.33,51.340000,0.00302000
7.34,51.410000,0.00297000
7.35,51.480000,0.00292000
7.36,51.550000,0.00287000
7.37,51.613333,0.00291800
7.38,51.676667,0.00296600
7.39,51.740000,0.00301400
7.40,51.803333,0.00306200
7.41,51.866667,0.00311000
7.42,51.930000,0.00311250
7.43,51.993333,0.00311500
7.44,52.056667,0.00311750
7.45,52.120000,0.00312000
7.46,52.185556,0.00298750
7.47,52.251111,0.00285500
7.48,52.316667,0.00272250
7.49,52.382222,0.00259000
7.50,52.447778,0.00257600
7.51,52.513333,0.00256200
7.52,52.578889,0.00254800
7.53,52.644444,0.00253400
7.54,52.710000,0.00252000
7.55,52.785000,0.00288000
7.56,52.860000,0.00324000
7.57,52.935000,0.00360000
7.58,53.010000,0.00396000
7.59,53.085000,0.00448250
7.60,53.160000,0.00500500
7.61,53.235000,0.00552750
7.62,53.310000,0.00605000
7.63,53.377778,0.00639400
7.64,53.445556,0.00673800
7.65,53.513333,0.00708200
7.66,53.581111,0.00742600
7.67,53.648889,0.00777000
7.68,53.716667,0.00809200
7.69,53.784444,0.00841400
7.70,53.852222,0.00873600
7.71,53.920000,0.00905800
7.72,53.982000,0.00938000
7.73,54.044000,0.01071000
7.74,54.106000,0.01204000
7.75,54.168000,0.01337000
7.76,54.230000,0.01470000
7.77,54.292000,0.01762000
7.78,54.354000,0.02054000
7.79,54.416000,0.02346000
7.80,54.478000,0.02638000
7.81,54.540000,0.02930000
7.82,54.611111,0.05764000
7.83,54.682222,0.08598000
7.84,54.753333,0.11432000
7.85,54.824444,0.14266000
7.86,54.895556,0.17100000
7.87,54.966667,0.21100000
7.88,55.037778,0.25100000
7.89,55.108889,0.29100000
7.90,55.180000,0.33100000
7.91,55.246000,0.33120000
7.92,55.312000,0.33140000
7.93,55.378000,0.33160000
7.94,55.444000,0.33180000
7.95,55.510000,0.33200000
7.96,55.576000,0.30040000
7.97,55.642000,0.26880000
7.98,55.708000,0.23720000
7.99,55.774000,0.20560000
8.00,55.840000,0.17400000
8.01,55.907000,0.15000000
8.02,55.974000,0.12600000
8.03,56.041000,0.10200000
8.04,56.108000,0.07800000
8.05,56.175000,0.05400000
8.06,56.242000,0.04866000
8.07,56.309000,0.04332000
8.08,56.376000,0.03798000
8.09,56.443000,0.03264000
8.10,56.510000,0.02730000
8.11,56.579000,0.02670000
8.12,56.648000,0.02610000
8.13,56.717000,0.02550000
8.14,56.786000,0.02490000
8.15,56.855000,0.02430000
8.16,56.924000,0.02510000
8.17,56.993000,0.02590000
8.18,57.062000,0.02670000
8.19,57.131000,0.02750000
8.20,57.200000,0.02830000
8.21,57.263636,0.02951667
8.22,57.327273,0.03073333
8.23,57.390909,0.03195000
8.24,57.454545,0.03316667
8.25,57.518182,0.03438333
8.26,57.581818,0.03560000
8.27,57.645455,0.03746000
8.28,57.709091,0.03932000
8.29,57.772727,0.04118000
8.30,57.836364,0.04304000
8.31,57.900000,0.04490000
8.32,57.965455,0.04636000
8.33,58.030909,0.04782000
8.34,58.096364,0.04928000
8.35,58.161818,0.05074000
8.36,58.227273,0.05220000
8.37,58.292727,0.05318333
8.38,58.358182,0.05416667
8.39,58.423636,0.05515000
8.40,58.489091,0.05613333
8.41,58.554545,0.05711667
8.42,58.620000,0.05810000
8.43,58.687273,0.05912000
8.44,58.754545,0.06014000
8.45,58.821818,0.06116000
8.46,58.889091,0.06218000
8.47,58.956364,0.06320000
8.48,59.023636,0.06398333
8.49,59.090909,0.06476667
8.50,59.158182,0.06555000
8.51,59.225455,0.06633333
8.52,59.292727,0.06711667
8.53,59.360000,0.06790000
8.54,59.428182,0.06914000
8.55,59.496364,0.07038000
8.56,59.564545,0.07162000
8.57,59.632727,0.07286000
8.58,59.700909,0.07410000
8.59,59.769091,0.07576667
8.60,59.837273,0.07743333
8.61,59.905455,0.07910000
8.62,59.973636,0.08076667
8.63,60.041818,0.08243333
8.64,60.110000,0.08410000
8.65,60.175000,0.08708333
8.66,60.240000,0.09006667
8.67,60.305000,0.09305000
8.68,60.370000,0.09603333
8.69,60.435000,0.09901667
8.70,60.500000,0.10200000
8.71,60.565000,0.10683333
8.72,60.630000,0.11166667
8.73,60.695000,0.11650000
8.74,60.760000,0.12133333
8.75,60.825000,0.12616667
8.76,60.890000,0.13100000
8.77,60.955833,0.13833333
8.78,61.021667,0.14566667
8.79,61.087500,0.15300000
8.80,61.153333,0.16033333
8.81,61.219167,0.16766667
8.82,61.285000,0.17500000
8.83,61.350833,0.18583333
8.84,61.416667,0.19666667
8.85,61.482500,0.20750000
8.86,61.548333,0.21833333
8.87,61.614167,0.22916667
8.88,61.680000,0.24000000
8.89,61.748333,0.25616667
8.90,61.816667,0.27233333
8.91,61.885000,0.28850000
8.92,61.953333,0.30466667
8.93,62.021667,0.32083333
8.94,62.090000,0.33700000
8.95,62.158333,0.35900000
8.96,62.226667,0.38100000
8.97,62.295000,0.40300000
