wl,Ag_n,PDMS_n
7.300000,5.467000,1.292642
7.310000,5.482000,1.291568
7.320000,5.497000,1.290494
7.330000,5.512000,1.288262
7.340000,5.527000,1.287104
7.350000,5.542000,1.285946
7.360000,5.557000,1.284788
7.370000,5.570889,1.282298
7.380000,5.584778,1.280966
7.390000,5.598667,1.279634
7.400000,5.612556,1.278302
7.410000,5.626444,1.275708
7.420000,5.640333,1.274446
7.430000,5.654222,1.273184
7.440000,5.668111,1.271922
7.450000,5.682000,1.269570
7.460000,5.696333,1.268480
7.470000,5.710667,1.267390
7.480000,5.725000,1.266300
7.490000,5.739333,1.265210
7.500000,5.753667,1.262596
7.510000,5.768000,1.261072
7.520000,5.782333,1.259548
7.530000,5.796667,1.258024
7.540000,5.811000,1.255013
7.550000,5.827625,1.253527
7.560000,5.844250,1.252040
7.570000,5.860875,1.250553
7.580000,5.877500,1.249067
7.590000,5.894125,1.245366
7.600000,5.910750,1.243152
7.610000,5.927375,1.240938
7.620000,5.944000,1.238724
7.630000,5.959333,1.234042
7.640000,5.974667,1.231574
7.650000,5.990000,1.229106
7.660000,6.005333,1.226638
7.670000,6.020667,1.224170
7.680000,6.036000,1.220830
7.690000,6.051333,1.217490
7.700000,6.066667,1.214150
7.710000,6.082000,1.210810
7.720000,6.096300,1.203592
7.730000,6.110600,1.199713
7.740000,6.124900,1.195835
7.750000,6.139200,1.191957
7.760000,6.153500,1.188078
7.770000,6.167800,1.175104
7.780000,6.182100,1.166008
7.790000,6.196400,1.156912
7.800000,6.210700,1.147816
7.810000,6.225000,1.127133
7.820000,6.241444,1.115547
7.830000,6.257889,1.103960
7.840000,6.274333,1.092373
7.850000,6.290778,1.080787
7.860000,6.307222,1.079477
7.870000,6.323667,1.089753
7.880000,6.340111,1.100030
7.890000,6.356556,1.110307
7.900000,6.373000,1.120583
7.910000,6.388300,1.161748
7.920000,6.403600,1.192637
7.930000,6.418900,1.223525
7.940000,6.434200,1.254413
7.950000,6.449500,1.285302
7.960000,6.464800,1.334997
7.970000,6.480100,1.353803
7.980000,6.495400,1.372610
7.990000,6.510700,1.391417
8.000000,6.526000,1.410223
8.010000,6.541800,1.420898
8.020000,6.557600,1.412767
8.030000,6.573400,1.404635
8.040000,6.589200,1.396503
8.050000,6.605000,1.388372
8.060000,6.620800,1.370075
8.070000,6.636600,1.359910
8.080000,6.652400,1.349745
8.090000,6.668200,1.339580
8.100000,6.684000,1.329415
8.110000,6.700400,1.313003
8.120000,6.716800,1.306757
8.130000,6.733200,1.300510
8.140000,6.749600,1.294263
8.150000,6.766000,1.288017
8.160000,6.782400,1.277293
8.170000,6.798800,1.272817
8.180000,6.815200,1.268340
8.190000,6.831600,1.263863
8.200000,6.848000,1.259387
8.210000,6.863545,1.251408
8.220000,6.879091,1.247907
8.230000,6.894636,1.244405
8.240000,6.910182,1.240903
8.250000,6.925727,1.237402
8.260000,6.941273,1.231283
8.270000,6.956818,1.228667
8.280000,6.972364,1.226050
8.290000,6.987909,1.223433
8.300000,7.003455,1.220817
8.310000,7.019000,1.216554
8.320000,7.035000,1.214909
8.330000,7.051000,1.213263
8.340000,7.067000,1.211617
8.350000,7.083000,1.209971
8.360000,7.099000,1.208326
8.370000,7.115000,1.204852
8.380000,7.131000,1.203023
8.390000,7.147000,1.201195
8.400000,7.163000,1.199367
8.410000,7.179000,1.197538
8.420000,7.195000,1.193654
8.430000,7.211727,1.191599
