wl,SIO2_n,SIO2_k
7.70,0.882856,0.03305208
7.71,0.878362,0.03384200
7.72,0.869148,0.03557758
7.73,0.864427,0.03652323
7.74,0.854748,0.03859789
7.75,0.849790,0.03972689
7.76,0.837031,0.04287181
7.77,0.823779,0.04648248
7.78,0.818329,0.04807725
7.79,0.807179,0.05155831
7.80,0.801478,0.05344458
7.81,0.789831,0.05755443
7.82,0.783883,0.05977800
7.83,0.771749,0.06461359
7.84,0.765563,0.06722561
7.85,0.749765,0.07442328
7.86,0.733550,0.08257277
7.87,0.726948,0.08613661
7.88,0.713588,0.09383668
7.89,0.706832,0.09797290
7.90,0.693223,0.10688501
7.91,0.686370,0.11166090
7.92,0.672649,0.12191716
7.93,0.665779,0.12739753
7.94,0.652128,0.13911836
7.95,0.645345,0.14535883
7.96,0.628713,0.16215531
7.97,0.612664,0.18055117
7.98,0.606465,0.18839103
7.99,0.594601,0.20483531
8.00,0.588935,0.21343972
8.01,0.578297,0.23132299
8.02,0.573324,0.24060185
8.03,0.564207,0.25969275
8.04,0.560061,0.26950478
8.05,0.552685,0.28948269
8.06,0.549453,0.29964856
8.07,0.542784,0.32530180
8.08,0.537964,0.35108747
8.09,0.536582,0.36138577
8.10,0.534650,0.38179807
8.11,0.534100,0.39191206
8.12,0.533725,0.41183564
8.13,0.533901,0.42164523
8.14,0.534859,0.44087862
8.15,0.535642,0.45030243
8.16,0.537692,0.46871788
8.17,0.538959,0.47770953
8.18,0.541865,0.49524347
8.19,0.543502,0.50378576
8.20,0.547044,0.52042691
8.21,0.548948,0.52852578
8.22,0.553970,0.54814394
8.23,0.557089,0.55966323
8.24,0.560356,0.57060997
8.25,0.565839,0.58852012
8.26,0.568056,0.59548353
8.27,0.572484,0.60912898
8.28,0.574695,0.61581101
8.29,0.579083,0.62894893
8.30,0.581261,0.63540482
8.31,0.585569,0.64814366
8.32,0.587700,0.65442661
8.33,0.591916,0.66686722
8.34,0.594002,0.67302487
8.35,0.598139,0.68525343
8.36,0.600191,0.69132434
8.37,0.604281,0.70340630
8.38,0.606320,0.70941735
