wl,Al_n,Al_k
5.48,10.347333,51.209667
5.49,10.372000,51.291438
5.50,10.396667,51.373208
5.51,10.421333,51.454979
5.52,10.446000,51.536750
5.53,10.470667,51.618521
5.54,10.495333,51.700292
5.55,10.520000,51.782063
5.56,10.544667,51.863833
5.57,10.569333,51.945604
5.58,10.594000,52.027375
5.59,10.618667,52.109146
5.60,10.643333,52.190917
5.61,10.668000,52.272688
5.62,10.692667,52.354458
5.63,10.717333,52.436229
5.64,10.767491,52.599368
5.65,10.792982,52.680737
5.66,10.818474,52.762105
5.67,10.843965,52.843474
5.68,10.869456,52.924842
5.69,10.894947,53.006211
5.70,10.920439,53.087579
5.71,10.945930,53.168947
5.72,10.971421,53.250316
5.73,10.996912,53.331684
5.74,11.022404,53.413053
5.75,11.047895,53.494421
5.76,11.073386,53.575789
5.77,11.098877,53.657158
5.78,11.124368,53.738526
5.79,11.149860,53.819895
5.80,11.175351,53.901263
5.81,11.200842,53.982632
5.82,11.226333,54.064000
5.83,11.251825,54.145368
5.84,11.277316,54.226737
5.85,11.302807,54.308105
5.86,11.328298,54.389474
5.87,11.353789,54.470842
5.88,11.379281,54.552211
5.89,11.404772,54.633579
5.90,11.430263,54.714947
5.91,11.455754,54.796316
5.92,11.481246,54.877684
5.93,11.506737,54.959053
5.94,11.532228,55.040421
5.95,11.557719,55.121789
5.96,11.583211,55.203158
5.97,11.608702,55.284526
5.98,11.634193,55.365895
5.99,11.659684,55.447263
6.00,11.685175,55.528632
6.01,11.710667,55.610000
6.02,11.736158,55.691368
6.03,11.761649,55.772737
6.04,11.787140,55.854105
6.05,11.812632,55.935474
6.06,11.838123,56.016842
6.07,11.863614,56.098211
6.08,11.889105,56.179579
6.09,11.914596,56.260947
6.10,11.940088,56.342316
6.11,11.965579,56.423684
6.12,11.991070,56.505053
6.13,12.016561,56.586421
6.14,12.042053,56.667789
6.15,12.067544,56.749158
6.16,12.093035,56.830526
6.17,12.118526,56.911895
6.18,12.144018,56.993263
6.19,12.169509,57.074632
6.20,12.222043,57.237214
6.21,12.249086,57.318429
6.22,12.276129,57.399643
6.23,12.303171,57.480857
6.24,12.330214,57.562071
6.25,12.357257,57.643286
6.26,12.384300,57.724500
6.27,12.411343,57.805714
6.28,12.438386,57.886929
6.29,12.465429,57.968143
6.30,12.492471,58.049357
6.31,12.519514,58.130571
6.32,12.546557,58.211786
6.33,12.573600,58.293000
6.34,12.600643,58.374214
6.35,12.627686,58.455429
6.36,12.654729,58.536643
6.37,12.681771,58.617857
6.38,12.708814,58.699071
6.39,12.735857,58.780286
6.40,12.762900,58.861500
6.41,12.789943,58.942714
6.42,12.816986,59.023929
6.43,12.844029,59.105143
6.44,12.871071,59.186357
6.45,12.898114,59.267571
6.46,12.925157,59.348786
6.47,12.952200,59.430000
6.48,12.979243,59.511214
6.49,13.006286,59.592429
6.50,13.033329,59.673643
6.51,13.060371,59.754857
6.52,13.087414,59.836071
6.53,13.114457,59.917286
6.54,13.141500,59.998500
6.55,13.168543,60.079714
6.56,13.195586,60.160929
6.57,13.222629,60.242143
6.58,13.249671,60.323357
6.59,13.276714,60.404571
6.60,13.303757,60.485786
6.61,13.330800,60.567000
6.62,13.357843,60.648214
6.63,13.384886,60.729429
6.64,13.411929,60.810643
6.65,13.438971,60.891857
6.66,13.466014,60.973071
6.67,13.493057,61.054286
6.68,13.520100,61.135500
6.69,13.547143,61.216714
6.70,13.574186,61.297929
6.71,13.601229,61.379143
6.72,13.628271,61.460357
6.73,13.655314,61.541571
6.74,13.682357,61.622786
6.75,13.709400,61.704000
6.76,13.736443,61.785214
6.77,13.763486,61.866429
6.78,13.790529,61.947643
6.79,13.817571,62.028857
6.80,13.844614,62.110071
6.81,13.871657,62.191286
6.82,13.898700,62.272500
6.83,13.925743,62.353714
6.84,13.952786,62.434929
6.85,13.979829,62.516143
6.86,14.006871,62.597357
6.87,14.033914,62.678571
